,funcao-objetivo,t,iteracao
0,0.47468914483459124,5,0
1,0.47314772725040555,6,1
2,0.472280847431934,6,2
3,0.47260902255982457,6,3
4,0.4743240002197018,5,4
5,0.4751656667652423,5,5
6,0.47432584604377387,8,6
7,0.4749932246188687,4,7
8,0.4732184957308708,6,8
9,0.475798938446148,6,9
10,0.4747480320871861,5,10
11,0.47269353012831594,6,11
12,0.47546294370720504,5,12
13,0.4731840944477774,8,13
14,0.4748021517515907,6,14
15,0.47323389930292736,8,15
16,0.4720490106513398,7,16
17,0.47385140762416994,5,17
18,0.47272005817613116,6,18
19,0.47229644281103594,7,19
20,0.4729816496402076,6,20
21,0.47108744611761566,5,21
22,0.4738995111449579,4,22
23,0.4758041907365408,6,23
24,0.4748061385722408,6,24
25,0.47238040867217473,6,25
26,0.47456377202378164,5,26
27,0.472547530713961,6,27
28,0.4742432338480888,6,28
29,0.473763193259156,8,29
30,0.47546782701190815,6,30
31,0.47583499521117606,4,31
32,0.47102419266324547,4,32
33,0.4732026161456317,5,33
34,0.4741334274353634,6,34
35,0.47281562101353114,6,35
36,0.47366379623486743,6,36
37,0.47483055368011357,5,37
38,0.4746998818171308,5,38
39,0.47365225852464743,6,39
40,0.4741545783435172,5,40
41,0.4713185126320182,5,41
42,0.47289711700004766,5,42
43,0.47396802013637984,6,43
44,0.4714292139730063,6,44
45,0.4735437701208625,4,45
46,0.47281139610363704,5,46
47,0.4713706421528404,5,47
48,0.47177893078947375,5,48
49,0.4748443067067602,9,49
